store_risk_rank_desc,persistent_id_store,store_max_predicted_proba,store_predicted_positive_thr012,obs_month_start,obs_month,LOCATION_NAME,LATITUDE,LONGITUDE
7506,12997441,1.649097e-05,0,2025-12-01,2025-12,Revelie Luncheonette,40.7264285,-74.001953
7507,8748794,1.649009e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.6555786,-73.915329
7508,13021363,1.6489383e-05,0,2025-12-01,2025-12,The Essex,40.718271,-73.987928
7509,8755364,1.6485546e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.748169,-73.9928665
7510,12992176,1.6484493e-05,0,2026-01-01,2026-01,Pizza 13,40.6630105,-73.792391
7511,8342546,1.6466565e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.6875496,-74.0012817
7512,12240935,1.6465592e-05,0,2025-12-01,2025-12,OpticCoffee.com,40.704927,-74.007224
7513,8740077,1.6463364e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.5802803,-73.9672394
7514,8748695,1.6462467e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7156792,-73.8332214
7515,8307204,1.6460459e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.8366509,-73.8568192
7516,12969147,1.645936e-05,0,2025-12-01,2025-12,Lolita's Kitchen & Burger House,40.7823495,-73.953749
7517,8747241,1.64544e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7253914,-73.9992065
7518,8755846,1.6453318e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7643204,-73.9668503
7519,12079902,1.6450462e-05,0,2026-01-01,2026-01,Thai Lemon Grass On Broadway INC,40.7937584,-73.972229
7520,8750313,1.6445301e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.731781,-74.0013886
7521,8750050,1.6444204e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7136803,-73.7789993
7522,8343347,1.6442918e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.8213882,-73.9543228
7523,8746746,1.6435284e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7167282,-73.8520584
7524,8758472,1.6431475e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7595291,-73.9753113
7525,8734215,1.6422122e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.72295,-73.8095474
7526,8350648,1.6421778e-05,0,2026-01-01,2026-01,Limited-Service Restaurants,40.7291794,-73.9004135
7527,8311703,1.6420463e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.7040215,-73.882988
7528,12905885,1.641542e-05,0,2026-01-01,2026-01,110 Kennedy Fried Chicken,40.637434,-74.079981
7529,8755644,1.6412681e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.6952515,-73.9460907
7530,13002881,1.6411883e-05,0,2025-12-01,2025-12,Scalini Fedeli,40.717446,-74.009487
7531,12240193,1.641071e-05,0,2026-01-01,2026-01,Manhattan Espresso Cafe,40.7553755,-73.972174
7532,8315396,1.6410146e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.6627693,-73.9185333
7533,13006772,1.640661e-05,0,2025-12-01,2025-12,Sol Hyang Ki,40.759362,-73.826918
7534,12915991,1.64065e-05,0,2025-12-01,2025-12,BILAO,40.769523,-73.955068
7535,12240117,1.6406124e-05,0,2026-01-01,2026-01,Java Girl,40.764167,-73.959408
7536,12942263,1.6403403e-05,0,2026-01-01,2026-01,Fidela's Restaurant,40.7329105,-73.804446
7537,8739669,1.6400336e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.6903496,-73.9329071
7538,8741650,1.6399055e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.5782318,-74.1625824
7539,12905989,1.6398631e-05,0,2026-01-01,2026-01,150 Charles St Holding LLC,40.73364,-74.009095
7540,8306282,1.6398319e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.8358383,-73.9027405
7541,8749709,1.6398257e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.6805801,-73.8634567
7542,12997740,1.6395974e-05,0,2025-12-01,2025-12,Richard's Fruit & Vegetable,40.8391535,-73.918166
7543,12239470,1.6395317e-05,0,2025-12-01,2025-12,Pueblo Querido Coffee Roasters,40.7254105,-73.9514855
7544,8734305,1.6394239e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.5700188,-74.1091614
7545,8740741,1.6388001e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.5988312,-73.9526978
7546,12932065,1.6385033e-05,0,2025-12-01,2025-12,Dacta Bird Restaurant,40.6390315,-73.9188945
7547,13030296,1.638322e-05,0,2026-01-01,2026-01,Vegan Grill,40.780111,-73.9497925
7548,8331750,1.638214e-05,0,2026-01-01,2026-01,Limited-Service Restaurants,40.8135605,-73.922081
7549,12239411,1.6381e-05,0,2026-01-01,2026-01,Frame coffee,40.780072,-73.980301
7550,8734653,1.6370974e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7574005,-73.9690399
7551,12930208,1.636701e-05,0,2026-01-01,2026-01,corn dogs by mr. cow,40.7169815,-73.9947185
7552,8736811,1.6363405e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.5806503,-74.1691132
7553,12240362,1.6356915e-05,0,2025-12-01,2025-12,Seven Grams Caffe,40.744056,-73.9859445
7554,12951974,1.635406e-05,0,2026-01-01,2026-01,Havana Central,40.758399,-73.9841405
7555,8763013,1.6351394e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.619381,-73.9219437
7556,12946200,1.635002e-05,0,2025-12-01,2025-12,George's Spanish and American Restaurant,40.701465,-73.9424785
7557,12968324,1.6328813e-05,0,2025-12-01,2025-12,Liquid Restaurant & Lounge,40.694658,-73.7524385
7558,8738558,1.632858e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.5769806,-73.8467331
7559,8758487,1.6317528e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.6164208,-73.9302826
7560,7608648,1.6314478e-05,0,2026-01-01,2026-01,Limited-Service Restaurants,40.70673,-74.0131144
7561,13027274,1.6313326e-05,0,2025-12-01,2025-12,Top Taco & Top China,40.5864885,-73.952526
7562,12926004,1.6309967e-05,0,2026-01-01,2026-01,Chimi Express,40.7472545,-73.8631685
7563,10227151,1.6308319e-05,0,2026-01-01,2026-01,"Cafeterias, Grill Buffets, and Buffets",40.7637291,-73.9219513
7564,8761835,1.6306343e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.8932686,-73.8967819
7565,8748740,1.6304788e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.8572884,-73.7905731
7566,8738092,1.6302829e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.724041,-73.9946518
7567,12981922,1.6301632e-05,0,2026-01-01,2026-01,Nino's Restaurant,40.598299,-74.079767
7568,12981065,1.630143e-05,0,2025-12-01,2025-12,New East Meets West Superb Chinese Food Howard Beach,40.654916,-73.8393085
7569,12986452,1.6300637e-05,0,2025-12-01,2025-12,Paratha Wala,40.710447,-73.8494755
7570,8740208,1.6299082e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.75634,-73.7676163
7571,8748483,1.6299082e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7563286,-73.7676163
7572,12936520,1.6298383e-05,0,2026-01-01,2026-01,Edison's,40.829258,-73.8766705
7573,12987776,1.6297932e-05,0,2026-01-01,2026-01,Perizia Kosher Pizza,40.623758,-73.9647045
7574,12084930,1.629784e-05,0,2025-12-01,2025-12,Glaze Teriyaki LLC,40.7330284,-73.9959717
7575,12984960,1.6295025e-05,0,2026-01-01,2026-01,Out of the Blue Seafood- Wholesale,40.805095,-73.8852915
7576,8755062,1.6293798e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7262611,-73.7892532
7577,8744230,1.628631e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.6624184,-73.9345093
7578,12089722,1.627001e-05,0,2025-12-01,2025-12,Patio New York LLC,40.7524185,-73.9689407
7579,12955371,1.6268785e-05,0,2025-12-01,2025-12,Hwang Hae Province Of Korea,40.7623585,-73.82885
7580,12974649,1.6254904e-05,0,2025-12-01,2025-12,Max Restaurant,40.7169435,-74.0084185
7581,12960305,1.6252192e-05,0,2025-12-01,2025-12,Junior's Restaurant,40.7527645,-73.9774175
7582,8737780,1.6250628e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7574196,-73.9690933
7583,12951194,1.6247233e-05,0,2026-01-01,2026-01,Hangar 11 Bar & Grill,40.7062665,-73.831244
7584,13030397,1.6246428e-05,0,2026-01-01,2026-01,Venezia Pizzeria,40.859922,-73.855199
7585,12969257,1.6245793e-05,0,2025-12-01,2025-12,Long Hing Kitchen,40.6822215,-73.836217
7586,8757603,1.6245343e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7326889,-74.0030975
7587,13024553,1.6238404e-05,0,2025-12-01,2025-12,The Smokehouse,40.692126,-73.7613045
7588,8743133,1.623489e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7197609,-74.0056686
7589,12908947,1.6234671e-05,0,2025-12-01,2025-12,Alto,40.7600915,-73.9745665
7590,8755148,1.6231128e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.5819702,-73.83004
7591,12948749,1.6228372e-05,0,2026-01-01,2026-01,Green Deli Inc,40.7142655,-73.7762595
7592,8763983,1.6221828e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7620316,-73.8148193
7593,12240309,1.6221255e-05,0,2026-01-01,2026-01,Procreate Coffee NYC,40.660035,-74.0007285
7594,12240748,1.6220249e-05,0,2026-01-01,2026-01,Marie's Coffee,40.855062,-73.88773
7595,12958355,1.621714e-05,0,2026-01-01,2026-01,Jeffrey's Grocery,40.7339925,-74.001364
7596,8755557,1.6215794e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7337112,-74.0030136
7597,8748408,1.6214388e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.8151093,-73.9584885
7598,12963163,1.620723e-05,0,2025-12-01,2025-12,Ku Shain Taiwanese Restaurant,40.7599925,-73.8310225
7599,8738711,1.6203907e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.6784515,-73.8125
